Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
1450;38571651264186581179542369862686648888095829524396589841022223522727011028411965424276154273618663226907165900771554136843943233124363927244184661175009660736490920477754202911042783642207395060869253762837528693635822254759058587086308752924963688367789301718775569853794225203373303322536234310153455193757959128433042714771011320044332744384197328012439863285114352155870599539314741504824271336338153267641807787915540269904585373487;0.1309118840;0.0136659940;0.0000008850
1470;47778942929388385533307149528543100885252052672495979004344065889547717344170443101820110240097068624142534079688455679288977379780474642162793018914080168742645576524233999209659384977770899420259415104985041577354132960007929256647141638731505691338265600021400677406495979413696988255688992448230206159001671049712172343881637427779646493024778019644363239032980553283880866874107359390970020354508967852731433909642125905997132352866679781;0.0611080030;0.0144421760;0.0000008220
1490;37045137633517023517218266295001024021111556062389813553928901606861186036049874752888897129073742181928704045188721891587984435541861314794080215337561529629324179652538186363415747469207764482642523310893858862112382964347332437101917627112045476578853816367441527166755953369737404301838574709084380965001317544279739577355008077542096672161093766403259689235484983295025550764433161500693786633124482101589410177266206073762653280457562100407561;0.0533408980;0.0152017820;0.0000009690
1510;50657697685638891323349671460115510232717066031582139064534126058280254647427556874796408848781308902906330626019545676578795336650684726808754384642049225817389998581957824958155191299157744266175499040113405633468824724258432540271928941637500200661088040965743945763453486804205976741577922849548538631426920629095841313933925608650509874083758776995478723102902557119887434782093244679180765982861545995425425116170220021734520740397908625831196188219;0.0286577690;0.0154757290;0.0000010580
1530;39783832772702951812154101806087876843298914742259374392165451656264008226152766266151606456042390814209219597265572358389652011324360740214045221032238419709380377551194609229875500753654202257680269570174694764395416585913490709626533714747524531269483852263859168070713007557033687433528282604959304445463468700547816070579131986640509360848421502126304409801796417283890440858556429668582711595254500229932468686723715676164713585188681818180133196832197301;0.1017924810;0.0153304190;0.0000007620
1550;67339429478304005494042598302311255754230974980703793365642633320449545974094145545096604382752603762445452369791385206970171474153655119054154675516853448821629093009586122737490261603447358498775296252967937796362540261974931534336948137919587139842444346142492224176961866571506467169567688627710264097406308959309209770802246696615059404441025082281353622432544262250846042669791982092442289064547730573643728283187918981433961241789864136483853456796710334696891;0.0319583830;0.0165771380;0.0000008060
1570;62905326108368383605264282701571157544901655742280481086715709176666132030643277592138266961634487433250930395985794641827930165582509474643766346936514480493298306035707058311344113151571551789590594854632639837815730729121163805428934216744594642845661360103785322858671071434136454394115235341034514939851098298560612398719464597053481011388230064151103617002507500048086911445295236598221472223535006267112457700905811921429300136124403834457334132775325659688651443549;0.0360700050;0.0179134640;0.0000011690
1590;79343427811243479375632809262261590296550936096219053947988314186543575273660028215146038241135932428600871093000891888967685658984808764250476879890626646118988043116789932591536380840199166291578743210615038504443857874557446380234371068777120529870977435035717454146654453589309722192730880597823932616239272115994905698698550564634580426536079992713096074485094063936952657422179917562795876527696349004141249057976585659905718850352874756360572212557758923615310309782306717;0.1557424200;0.0172802610;0.0000008310
1610;55324565649298971714730261026127149003293474988801708147136945756506124274469954566877064400398137375257655288159673803580052717894397535034783301613573750484082528484807783861967512078317706297165706129831239435234947507516664025465041542892394934598991902590939123728395800361485110374944637316426940856722667676744392963111723851426489118875396942223445025218217712842928673267458245782690360783470826221012137314716965349642096458391356447272808221012204412093889325576389310887961;0.0892428790;0.0187211230;0.0000007660
1630;60272668455028886322122978863759144510157751628407303528329230696394871809821420802287803872099400730732501798439164316226669774208594538603371912930507097971926777507692647639959382376946582694769665055760027358222899518017390172162121200242323267911616338922938495521816457919058401004101997088879241088033344034097406383013722352087568522532547411759312681132008429009337913476920079089293166343684431579433845664370449270832633370769640223929558174751208053257568919524825609751762292307;0.0208251960;0.0188179480;0.0000008820
