Length;Fraction;S;T;Time
177;0.000000000000000008732763544315412137106459463071051588991106015282481223474240796672621043435611678935362743890852890525910323111418563305555399346340833101353458697477365988458;168744355708679521537005607683534188882690413424829972952941061665003111;19323133490603163262190929662458611602371913234719738690225246672165124502493307048497569;2.453125
178;0.0000000000000000085357056688899362919198860544105974218045773807848666333181315193678409369082659267153233886886305579357106227876519265025189883895965248480583424541338010798134;300548402102749759955136378125899251282391751802454466952100357244978541;35210727005050996579004567806861871364181196933627953288163324320902826169900907622814149;2.671875
179;0.00000000000000000493689654177776062046534863492462047961573530830636075268711581931925396843547896697257506688223636907332875822360720044575919270573670847880302493650051153814518;336457809329650120948334986016234106273663334082906870114248332588526576;68151683245218005369940023087587100536390980809256076192701930212674332678273506887246825;2.578125
180;0.000000000000000000803992303885641269786847441923775855670742278725933121684946194423445881408197014090747325290370914833115315041312426046581858454286957249204303907258605135525056;559846809485870487343435529347892849330455014503373671410748634279164732;696333542970707723493820119659160294495669305869721847147793695699435282603206503698471735;2.468750
181;0.0000000000000000009406372692343695914098335213337602679996885248274125978105723394759013472364022967099786631391245077892490807423329218669808116667862650389613453742585845916246886;1922793393270746356274290527739370560475443290298733438716991883957563721;2044139070564152096679568570436433879363922989638665028272577737912489651783786428771198329;2.968750
182;0.00000000000000000018675369508890539215414190806664387525568122747006660296475646999447571831016426715138852942646251070498168501701633651965335667053935932878691878076396008379692152;423463694701755328297334381559794885726840908713583589982918725885506005;2267498345883665105783738454871820280862050059408378919633373834549978118612508426203818462;2.718750
183;0.000000000000000000483843197027994067978836083757323345721393387300896049934531797078185072063154390464090994578047218280638517757496650174739404947196499139296444399409292327437199959;8675273949923849837878173583993374411355552316528936781511143282300470985;17929928545470317317121654053161781482237093352588820458628400897114935125374888023020911896;2.625000
184;0.0000000000000000002462893939528841304102229366509226308308926696158627646552367301695322968401634073846166416489601228498952798860206739252739071917619911850851079834599490711892450639;5030284583961211783108350282987984664009821143919059966211433472953111400;20424284226073980656952660786482327802566735081295507291003602158998263873733841474807126999;3.015625
185;0.00000000000000000030123713413061454137914949771928303252506064489674768917046820990624570752453802946923689815170920105489003271127140376521706152134765355060962791938904452638771454186;6412493021037933015019095204719920278430058889470550121642615249319276748;21287193026665550670760746911875065580411007745550869446277349246078092101680452659451044377;3.187500
186;0.000000000000000000491088660635727696475775681506132544309200914032126018954482640683596244275949703331946573949477524657469111516237754643678062332301178071684205148614870024774892806737;338868804468048898048168663542473823757913721841900467391367959610119239503;690035897040208517006280260042033429802279159281946953763347433683187177784321915031303240114;3.171875
187;0.0000000000000000005163470266629336378257262003081481908757646624172987295216378035528130208024831217375011849839325330192060920937955504112267727376090739658765364401082679230818063456492;323559254903023078278805376413252336596945684355519392417420299746080092841;626631389734407130111725359623447680521658008009367768740351531004947348257650152723554464923;3.031250
188;0.00000000000000000006430561829444346953416060908496541683617160348707321104288049512644110336232418835899071658925727528308952578560535296020830945986224261343360226533899998066135377241295;320049966320697578048381118755110478202743038010908996537692158308110365183;4977014058946580540005922930661078727479974367938370253647214699520645188027080580099044748586;3.000000
189;0.000000000000000000899046115178568965144005816014439630602232882168419134585425085711702717925136802014691225491763093931307571207755893464374098035767753784060981180999049609828063294633195;10219042091163464508070457358130419763832971300994274646857374222511794812932;11366538288343255372002005770470504978962820205308771890533798129296975719363820862702719847615;3.156250
