Length;Fraction;S;T;Time
630;0.000000000000000000000000000000000000000000000000000000000000000342056985289923706301675639063657111063887489095652487083871827560242763686453086988216326062886261348725157174804641564565049217777635217961569618047573574058431638010339237893703713304983870842864867577150058982876358010729386073608660993280755260950745560890377353464251515481305650975793483860796557360339930118388208360851596369449978152307544532077526601411865694622210508977821438078799006081060487359786486533186397317525021503875324908533750502813631860977289238986025774422645483415078874278198020247570700543440825038147304770957750893849065083022671410523;129447263666614211682230151239072049044033220243048016173208217745377405031095412467844845402620408178098756480976351632254340488954875478414093986988090450651629849494655522304185260833682417742271872466789278459980949184647790074353890064790185098657;378437714279964629150456451300528410745157265931620069003206028215265679873801797866665399956865080287702890818716533309910801721946048171999352806916341891403127179817428806844195678794239034955418265969895510297101330446603290014049264149518242127919264075456710832864788808009339451632814971077011280148989949281;45.015625
650;0.00000000000000000000000000000000000000000000000000000000000000000347842687173220155671382736347569282416854448110358990928301454154687493562836665573198972262159478995222718410985784559756319446612981045328201727918055001858147512017591359321597454274555985516997289311168986113119672155891044836331123930606264312932292490655226550686843665519686885923893681041779129539018575708652258560136873466578684439523776707968024584897210963361848236775326516442300694802653341815333635327497644152007553125988606337304454415072978389965467721015537687384794013570177041910063830251568413386782824469870162644529841658903855242450342418041123601598473968544;21074605979440872779186355348805586128489696545613281103168642379196058450471315495621377156352519180272574927395656480303946805374152581591184581181112486694057783514379660414577662564221341797658405572765076982664936510719442063269829402577011834496105477653;6058660065763019011427931543379969855735093858345655266164908061830338266603977914719933672015812241683470322565830179924777948117024345085925173733070739157319581824364365305191214966928330513941345459227113128286697029093789735405617286074831394086111637477858069407159725821940333304293949080963278378495070542260620853877;46.156250
670;0.0000000000000000000000000000000000000000000000000000000000000000000798122272782833810699974619589919793450394284727622089137354854142346311356681100371129694301797515820459051107975622964440936312577886079499492987328370844734631224095531217084376193650402355667660643459869629620694362905167378313252016173951733666534747261981176825017067465951427068184951810241563689305010578669383105006050503608676194463634570793804260019808212164930579892688903293453099874686686025691217993177484257693221278485918175983677855000764266903398591070123471636882452302286310445122891998447868839409557808873590903726799123297905343351715576454620501664177792643283161111356930038113;482377164038017806210347069083823690853251229025737532473865538754457196898116417057228132152494174500987111780347904526566601489682284614151590088717552207135693087869602911728118421631230598470056265668051998788003279565484736738425295991336078498286750460580588981;6043900546166951679874857602712509360786595731870104902324591427754715240151798877095229713737968356154558549664660295894336811258588693012953543941224699326914713763422661896441900536755474673970782681470423622573427551273982535938125137804765628284954248645392526241827433892074579060095832551012734627820083874567323874350487669358;47.546875
690;0.000000000000000000000000000000000000000000000000000000000000000000000208389307541071872859993646933134582054250909714210356968483107602363582110319472973602930867626107651724333292068379550278127707173173828822775368411722927751131024843492757857184760625512844438859137997560871509963204898304470625740330988653556020690704316718241540048962748804247045439684305088345840939501408820932514009214523419565479080104678668906744883013689860723226911545248349978475281701189090136261066553629491878710290114302384539424702498337706388027569075072730529748431344800864185807585550941557110715488116527138492649617253613928290785792591811626401893928712067252094493884670928749660193631126889595;106122441858964689452426104627397472346236930000616788606307047059711629392694405267169964551304012141574593866192654112583057389731831533582654547702329573942029357932544430315297560674373150639781524723313224843122867463304102418395149075745151680553693533282197057456391173;509250897328543602667859930551661220895219139106336871963602917374985415518688099392721180332112826681833884837658277972907500595522557156669292161896535215166581849891543569699969101899862490298254636780670409477926715218799566969071072001153313614554858576116237017145112274468988453365810338711060142200754490805507133069364945910864903652812;53.875000
710;0.00000000000000000000000000000000000000000000000000000000000000000000000484559145405141659036479972378671297707963185148282519385426582768448535434809128603372619900715461753901864475013540867520422461297920846035727793312618232358575744234349937189565622881983690100711189389081750467455185544059198611839786455906983919744527322625911143023097180357228188331768886737325685938040407244785426176338320841954656235775540303647894244610452096004861266390412541523420178141008791065118557856395157466117221251177501071421753188681108928939817030676934505266100889034643139448310775216855438767124010874244439769560297621031448488328734254159363342160540008720702337205196144570794268145213082791649034964956585446;18925648721123054349685938047426122008212964962403354499449442177925338942426304084832641031943091727512533788301609078250752263446612594432388925466374218307042077286788495112419834747752766725257716408794155815278490157247399813302104893046914537951308497529604898973756725717877054;3905745851788485141066024699219988898489553520079110814283100491170669682302071842177556064558786050813186618966809431870778308586019228846053350215616868327752052401813061725187044858664919554162811090355889512634507189398463169209267114958589691703753386618282308329960866803614401960116012944158236071969269349932550280723045614729770577383697940665125;54.328125
730;0.0000000000000000000000000000000000000000000000000000000000000000000000000928142427976941439577050666198551348065532488246721008210725885273840961498877255352423005436176228419308314349484413494504221819829939871914230593700216221315863264324104173928423460137955520134758440713725588522246633017181009524904654971083076402590975571075068705302250807504629736548384876528183099115864712243477486449113249983887191771239583496236837541229689363021560428066566860134580876976960794412717559358621124485651250038099305589689763767987958571114325738111768202682491746098519989294086730199771360509295440056754985888684610143962954543726510449284736284218945770195660060777768182812838972252399860846543161220697147217447636066253895307;6503063203804325165158344687148328550774604319760663978149039997974521194618298727816303842301644749343766029128205412936868691787039884831423324836065066982045067417620451831420649371345605004959012036856392492146577458237580866688797563579768391091613822567061850855006671052820971183760009;70065358589187195261121962094485690696666335346787906938040522118028979372211653220111312991011801084628765339180783072085628841957108087294018220517139537646341537028212087401167429997540983266868708931575016656649794462531193467251255320397547996257777159642119125611536992015030634211833720397183680529428599561449502292375475482610872149782891256712790970415104;56.656250
750;0.000000000000000000000000000000000000000000000000000000000000000000000000000723451856400442873975635246494155665804528433295680027085715377870691940746225607543507016659247311704004007934522642642562574524196118955714052232027825500946222113591124579122623758327441699903644783607841845490487677534503483381813885598877342431290929423725009337600234572651892804291091950578162425423123534999989561638673474419517335435187596504530616818898333787624785826185769563242630423008438776111596766697245090931580635973464546324421172697923340424550217045350505546111570102108510005018725028905213750722285697019103527931716934095562762794193162088896386387534570785279210729235065940949989382504851379719866920373155987589400122225921957537530397225558551306;119111731651457047031329571480738443274394944902190401485360775088785726824096381125930161452830404646051101339602009029717979586469862445626265104957215152457457302146626332853370387246730165913579065013362380088407279404543604936071317722326541320500456000568791192988626312282048915876923344768244;164643618780800644106712868425483160425976870946890836023742697519200298323981071330036078952799967423307419497340081100120093396727395493938086630082379672852251592304981306617140630921234272321882328741446756282771521402280745890009354335641321535199463175299684949457567208577329787944192514385076782803653547271605272558728313683899236250982058292648926637886291501481557;63.281250
770;0.00000000000000000000000000000000000000000000000000000000000000000000000000000156052737371974207257286286741098775414809732482549693327990546945827263855145186004710948276489705425215604172229928838977643344886092740223953748292912315817521816547647953236402876730570829103329909904628281971837007679334959267687749819561519579991489343715829800947995378785681052054505087061306273218429558394718273724834063877670454868120696355758466471085104529678997058873475877924119734654837430479263169323562676372431963025526966444154790945065130324894309913828670463457901464859556804282884082827732026754417845027523787737841807922875787547419577531390544636832154795188446523831764819130925511962776827354594427909979321941950422493245639322078148345532341204555437404691248606;7650322532087804800484696815999145561810457452369236009318213333933599889612018892003053231920395053908450064887414467746661604081899391074121679049627534029238768501463801890618719178540528940876496648757064228826477595002126760007722246426589425897685550366831106292989050444812645381681779633468088837345;4902395600951335846951463107211019670367454804888659384897357008694537925178345475284920883584058113409679464219530785574984447269726305364060125187564796336618831611298673748607173585367011075823823473227424596714778337225390664738174674076326288630086068556779477431190880170127803223138949530691682003993375515569941283991906658382216054266708774206290862818171406526228547315577361;65.484375
790;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000286104061162450484555822721913783439256164960696495397190009986308727483118277063108014869677700149502120767168676144788134396672537810058841336235040755528361377863305025759054733974688313759613945453401930814691422201051113572573414270728145079257396534509940190186781977329595942352314044650187159695396231280358846305296677387094818386794480678081593795290279792201290148950969583065505039779355557860491873276354431541213710645946307105158899110601528248122347424079667262104343561167893536274389085289052591032311141856330555539934634083310135345869747736598845885357056688899362919198860544105974218045773807848666333181315193678409369082659267153233886886305579357106227876519265025189883895965248480583;1399738179279778028139631792793715933174015025506455400218654373164928539668726469206185723882455879159065927703966381528294781820616426810649057311573902971582793613293289699042092780586773941873838694100477322131648598151996162775545427051934038725261716705235519724607923189500388873677374357935615364041061684589;48924093338367670398513467361271237411157495412656443933781088266683931367785688307618475978297644514803457452284485992827004742777763533274902615121092285619244298975800271967672418579849332640493841835020421697087485085508384840468692318792906478274575997497178963354738884303691195580468151473073440723413777510963333353863916444685361565352749150028663795426177085673305050052342978091551768;70.812500
810;0.000000000000000000000000000000000000000000000000000000000000000000000000000000000424541338010798134493689654177776062046534863492462047961573530830636075268711581931925396843547896697257506688223636907332875822360720044575919270573670847880302493650051153814518803992303885641269786847441923775855670742278725933121684946194423445881408197014090747325290370914833115315041312426046581858454286957249204303907258605135525056940637269234369591409833521333760267999688524827412597810572339475901347236402296709978663139124507789249080742332921866980811666786265038961345374258584591624688618675369508890539215414190806664387525568122747006660296475646999447571831016426715138852942646251070498168501701633651965335667053935932878691878076396008379692152483843197027994067978836083757323345721393387300896049934531;169523019661104627865717869627800187534034259475541198689678661918575556260460390994226233030820622834118935516755366538260397689111966336915346954040682200837032814137888431339105547648146182901192804623804834721543806714888047566165787839635818186530565161672302589845921428114876340463816330403021640212533141023171731819;399308629061683598841013161526918838077958190951218363655123184442102029042231061327546203281911256142815530025978893235030139096208481187228871638071808548416887057018455101805417674300189681126135317784323369415810899468820128974838406912708958196472756949276568406171738668442488630098207960311427248071547141372647148480440824566038254680985397318246560316009187145854548302559683264709173680478259435;74.812500
830;0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000797078185072063154390464090994578047218280638517757496650174739404947196499139296444399409292327437199959246289393952884130410222936650922630830892669615862764655236730169532296840163407384616641648960122849895279886020673925273907191761991185085107983459949071189245063930123713413061454137914949771928303252506064489674768917046820990624570752453802946923689815170920105489003271127140376521706152134765355060962791938904452638771454186491088660635727696475775681506132544309200914032126018954482640683596244275949703331946573949477524657469111516237754643678062332301178071684205148614870024774892806737516347026662933637825726200308148190875764662417298729521637803552813020802483121737501184983932533019206092093795550411226772737609073965876;12716861152334504117260898264769599558324531130340957284412785874488957075077486693946280283308686220216552259455397670256475915614241107721424785836196839663690923396773220835977163929208480499608648322745139350255157926868955970699470632150864898670693056503428544791267791282837269677157925459510373442375521047397726364355789887;1595434599829724811548658897045207790985170235581729521391708827527303255128509982465154851599036664718436203490253427927023706200614946263779069011767054467839399299744618408529199160357159260673624138972727881102281100255316957040774776480525782951678343565602204648242694405650947850038033156618492732308727241540840600475459115018214960416034156343327254094870970102190310451878274602387047741144410700876416296;76.718750
850;0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000536440108267923081806345649206430561829444346953416060908496541683617160348707321104288049512644110336232418835899071658925727528308952578560535296020830945986224261343360226533899998066135377241295899046115178568965144005816014439630602232882168419134585425085711702717925136802014691225491763093931307571207755893464374098035767753784060981180999049609828063294633195714334886915138358203541455525779304574129243126866201720838901401286661133519329489835635600841195437131628527368825765059104768548213816509638509499292229922276017812696059932910035794677688667665944854353318284373249791125543548525788519218026993544184162159119849994733807291589834917289669364297624275401404984155975747003328666382641385476510633649653215636471863677315214762863885878470814;2094233721174373183547897761538275585103737244264337635578307136119699100451923015234089096727008183893950564756276928405588958182722303066165218927912380687401408426546235425448959368294778419356732210125148379627035698567902161436838601507378007427316335448582296875556949728506120140944953294873922657890514484505230430732022090279592480;39039469437442132629864503632099679766157165676595057769170925921857337569895241268614413279268261296143352372930158882562187191841241582762652544225135222744767048718939307085724248591685449495526286728931844852347399384588215604535400759891769373965246294564822225610130711824867432764308524173002668857700534939342343535436386137247477108601283055949656210133885981336683768247223542534828282015308407777409938492607609519;80.156250
870;0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000717776778209973548321441472570554231244978222035386999518624722964292850461216722861098250077779294221158731112112210790381862642514787642776579597262931902898232889400617349872760257016175686093979423200943946860443263209205173514291927054310359921709416508641422649531281475310429171940102754292932623663488539128321692887135070214123477700367189737158551128675204371853298013022382401591353641601913554991529336754768904776694731342927120409635733974448762929121311585025063184994883143131697979715144702625694320788353217364183164863724505385679527118510449331614600717193529824681305526606659427622127191866885889628550514380968345719137897388605308698543873686683926948961814616350100807393963453316681755669917403921349254660850412390381597526361027744470714472027796483565959;248677652735217982162234182802646880641552963267270868401679686374072684402309182689823585276172919367100904758481309999803715138415901053013911504708385580042771943866086977254933944654315180411335522791291455951843495645586840854519509547855566409463950885138716836618244179027394729285925484789522881354295483874664243098096808554622066152423135;346455416620446181388241832274748080390043515849367688842589294447198686297168637903971957173079610361338482461394094355579142784368783149343633095459958176179471553190263766021052850805222957098983017671721326528670732793830624423215583956382427380523555005378875345173655723419837831149097598598124982156175298160157112794951335350694169676749460076113271920094735311574101033170078738149358652584472585161501187812431912069942696762;84.953125
890;0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000862540072085981205645822422790794285453894811581450145390106027873748863345405919127088816305763539091156441632983962736643718816530218161671541709872245192893523582872613321488400482886374468917237113848467641241507819304147586533760192267050125434663138487417633318040635288902645778450691964784520080202204203968137329785657208928515951059059214618796855726881783408361495691561446813209154482867687141985660268850693556896586826050947544787183808674836857087502107010007944352390732466846203013744975522897210524365599490632839257128442659038979693546745965925339236370547495634553222241735994554443246306440819365053534745971516961963482121957909304471420357923593720474129828332351711232865414605809032268909009250221454895956158645105812943413969180593383191749922423652624738938246164119751951;38037328264644837177297365380796192173966114749953072965665065077428243713762859435451262348710392418292465402519326345200229150766628450628554855296868715459291717204995914986224147961850350854997200648672534266143010506948496870745007068182684272618476193006121751916716588164336633235914742431270243941185521807303213719243286138545868308558246788997169;4409920129583629904891369021729845567449996404900842985160656571929583502310372540984060046979542282109019456596270618201257008916320052491138406696930796283311858954150381234350714507283332816665763531874730278139030929975563894196797836800411474532244809192268121746986180648743678238588137708663482017992492228965575290631157544942155037066566713110639059686505925015945722685614393177654271228622191655360093647459960892767510920736359658492;94.703125
