Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
2981;0.004371;0.000009;0.000011;0.001172;0.003836;0.003720;0.975919
3001;0.004139;0.000027;0.000028;0.001620;0.003875;0.003540;1.131299
3021;0.005141;0.000020;0.000014;0.001295;0.003154;0.003314;0.978737
3041;0.004410;0.000008;0.000010;0.001131;0.002720;0.002886;0.973311
3061;0.004430;0.000016;0.000013;0.001165;0.003273;0.003269;1.076453
3081;0.005474;0.000008;0.000010;0.001086;0.003129;0.002900;1.077145
3101;0.006402;0.000010;0.000013;0.001626;0.003341;0.003539;1.163668
3121;0.005964;0.000020;0.000024;0.001885;0.003159;0.002875;1.191174
3141;0.004412;0.000014;0.000015;0.001193;0.003997;0.003836;1.199785
3161;0.004646;0.000009;0.000010;0.001182;0.002655;0.002629;1.210970
3181;0.004608;0.000009;0.000010;0.001279;0.003535;0.003458;1.261462
3201;0.006698;0.000011;0.000011;0.001417;0.003443;0.003541;1.235661
3221;0.004781;0.000018;0.000014;0.001262;0.003617;0.003558;1.186079
3241;0.005143;0.000017;0.000014;0.001616;0.004402;0.004588;1.276435
3261;0.006319;0.000012;0.000014;0.001923;0.003701;0.003788;1.241270
3281;0.005330;0.000013;0.000017;0.001882;0.004619;0.003672;1.344329
3301;0.007217;0.000023;0.000020;0.002155;0.003828;0.004150;1.401095
3321;0.006006;0.000016;0.000018;0.001835;0.004709;0.004494;1.401755
3341;0.006799;0.000020;0.000018;0.001824;0.005488;0.005522;1.313921
3361;0.007296;0.000048;0.000025;0.002109;0.005558;0.004150;1.426750
3381;0.007022;0.000011;0.000013;0.001985;0.006150;0.006532;1.428221
3401;0.007391;0.000023;0.000025;0.002134;0.003441;0.003802;1.476522
3421;0.007308;0.000012;0.000013;0.001484;0.004968;0.005178;1.489397
3441;0.007564;0.000020;0.000018;0.002316;0.003707;0.003207;1.433151
3461;0.006526;0.000016;0.000016;0.002423;0.005288;0.005281;1.544482
3481;0.007845;0.000013;0.000015;0.001835;0.004044;0.004226;1.495008
3501;0.010023;0.000016;0.000019;0.002606;0.006709;0.005727;1.355462
3521;0.006017;0.000020;0.000016;0.001513;0.003333;0.003286;1.483468
3541;0.006554;0.000010;0.000011;0.001540;0.004240;0.004322;1.554724
3561;0.008182;0.000016;0.000014;0.001568;0.005852;0.005744;1.480977
3581;0.008290;0.000018;0.000019;0.002349;0.005199;0.004023;1.412667
3601;0.008695;0.000012;0.000016;0.001693;0.005186;0.004023;1.478911
3621;0.008375;0.000045;0.000024;0.002447;0.006134;0.006445;1.533481
3641;0.006117;0.000021;0.000019;0.001634;0.005711;0.005489;1.543831
3661;0.008535;0.000026;0.000020;0.001564;0.005374;0.005521;1.617975
3681;0.007478;0.000020;0.000017;0.002331;0.004842;0.004965;1.471477
3701;0.007872;0.000018;0.000018;0.002524;0.005079;0.005018;1.677102
3721;0.008751;0.000046;0.000041;0.002591;0.005433;0.005867;1.607988
3741;0.008879;0.000037;0.000019;0.002626;0.005824;0.004675;1.602805
3761;0.009013;0.000020;0.000020;0.002687;0.006332;0.006030;1.693305
3781;0.008378;0.000013;0.000017;0.002592;0.006195;0.006278;1.669333
3801;0.009182;0.000021;0.000017;0.002183;0.006047;0.006194;1.729619
3821;0.008720;0.000022;0.000018;0.002536;0.004655;0.004933;1.805975
3841;0.008882;0.000025;0.000020;0.002750;0.006160;0.006381;1.748713
3861;0.006765;0.000009;0.000011;0.001671;0.004656;0.004724;1.446846
3881;0.008354;0.000021;0.000020;0.002481;0.005002;0.004923;1.851086
3901;0.009654;0.000012;0.000015;0.001992;0.007956;0.007695;1.708234
3921;0.010585;0.000014;0.000017;0.002711;0.005127;0.004817;1.747963
3941;0.010610;0.000013;0.000017;0.002818;0.006506;0.006749;1.818120
3961;0.007341;0.000023;0.000020;0.002029;0.006936;0.006585;1.815609
3981;0.010591;0.000013;0.000016;0.002854;0.006797;0.006485;1.840200
4001;0.010111;0.000024;0.000022;0.002747;0.006373;0.007217;1.760554
4021;0.009070;0.000025;0.000017;0.002417;0.005257;0.005119;1.893537
4041;0.010191;0.000026;0.000027;0.003157;0.007435;0.007157;1.800535
4061;0.007891;0.000028;0.000023;0.002091;0.005480;0.005271;1.765100
4081;0.007837;0.000011;0.000012;0.002038;0.005845;0.006084;1.923051
4101;0.010212;0.000035;0.000028;0.002776;0.007016;0.007027;1.940358
